Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60
2026-05-22 09:15:00+05:30,BRITANNIA,-0.0187,0.291,0.754,5358.5,5303.5,55.0,1.0298,0.6085,-0.2818,0.2947,-0.1948,-0.0848,-0.0659,0.2261,-0.6271,-0.3379,-0.1974
2026-05-25 09:15:00+05:30,BRITANNIA,0.6372,0.0094,0.7678,5370.0,5336.5,33.5,0.6238,0.5121,-0.134,0.2754,0.2884,-0.1872,-0.2246,-0.0749,0.1218,0.1312,0.2721
2026-05-26 09:15:00+05:30,BRITANNIA,0.3372,0.3289,0.6986,5356.0,5316.0,40.0,0.7468,0.6348,-0.1751,0.2617,-0.0988,-0.047,-0.0846,0.047,-0.2997,0.0282,0.1223
2026-05-27 09:15:00+05:30,BRITANNIA,-0.3552,0.2061,0.9492,5352.5,5323.0,29.5,0.5535,0.0938,-0.1594,0.2186,-0.068,0.1127,0.0,0.1127,-0.4487,-0.2435,-0.0657
2026-05-29 09:15:00+05:30,BRITANNIA,-0.0656,-0.0655,5.8816,5350.0,5292.0,58.0,1.0871,0.4779,-0.1379,0.2563,-0.2476,-0.5085,-0.3955,-0.5085,-0.5432,-0.6083,-0.2817
2026-06-01 09:15:00+05:30,BRITANNIA,-0.4207,0.5576,0.5866,5230.0,5182.0,48.0,0.9217,0.4608,-0.2821,0.4761,-1.4804,-0.0579,0.2218,0.5112,-0.8795,-0.3269,-1.4823
2026-06-02 09:15:00+05:30,BRITANNIA,-0.9479,0.3105,1.2921,5148.0,5092.0,56.0,1.0936,0.1269,-0.0782,0.3981,-1.2957,-0.1271,-0.1369,-0.2249,-1.0736,-0.7665,-1.4359
2026-06-03 09:15:00+05:30,BRITANNIA,0.3031,-0.1269,0.2079,5142.5,5082.0,60.5,1.1793,0.6628,-0.2121,0.3574,-0.4494,-0.0491,-0.3434,-0.1276,-0.3617,-0.4882,-0.3715
2026-06-04 09:15:00+05:30,BRITANNIA,-0.237,0.1186,1.7857,5074.5,5043.5,31.0,0.6137,0.1089,-0.1715,0.2987,-0.4214,0.3765,1.0008,1.09,-0.3456,-0.2274,-0.2865
2026-06-05 09:15:00+05:30,BRITANNIA,-0.0686,0.1768,0.5179,5113.0,5080.5,32.5,0.6379,0.1766,-0.1407,0.3188,-0.0162,0.0295,0.0492,0.2753,-0.2452,-0.0688,-0.2256
2026-06-08 09:15:00+05:30,BRITANNIA,-0.6824,0.1269,2.6939,5094.0,5036.5,57.5,1.1288,0.3239,0.1611,0.3707,-0.5281,-0.0492,0.0197,-0.4825,-1.0041,-0.8785,-0.7137
2026-06-09 09:15:00+05:30,BRITANNIA,0.4052,-0.3545,0.6411,5097.5,5063.5,34.0,0.6694,0.0492,-0.0459,0.3095,-0.0279,-0.1083,0.1182,-0.1379,0.3558,0.0,-0.4022
2026-06-10 09:15:00+05:30,BRITANNIA,-0.244,0.1956,1.7387,5204.0,5103.5,100.5,1.9667,1.4188,0.3712,0.3776,1.5417,0.6078,0.7236,0.2315,1.1713,1.3692,1.1911
2026-06-11 09:15:00+05:30,BRITANNIA,-0.1258,0.1163,1.1133,5190.5,5126.5,64.0,1.2403,0.436,0.3097,0.3701,0.1054,-0.0579,-0.357,-0.3666,0.3097,0.4263,0.0579
2026-06-12 09:15:00+05:30,BRITANNIA,-0.0292,0.4897,0.5489,5167.5,5128.5,39.0,0.7605,0.078,-0.2009,0.3521,-0.1392,0.4189,0.2435,0.1851,0.0487,0.5387,0.2148
2026-06-15 09:15:00+05:30,BRITANNIA,1.4689,0.1161,2.0772,5258.0,5196.0,62.0,1.181,0.9429,-0.3386,0.3688,0.9235,-0.0673,-0.0673,0.2307,0.5122,0.6289,1.118
2026-06-16 09:15:00+05:30,BRITANNIA,0.3764,-0.1734,0.7111,5232.5,5169.5,63.0,1.2117,0.1058,0.0513,0.3218,0.1103,-0.1249,-0.1921,-0.2113,0.4826,0.3083,-0.2396
2026-06-17 09:15:00+05:30,BRITANNIA,0.0479,0.0863,0.4744,5223.0,5194.0,29.0,0.5556,0.0575,0.1087,0.1664,0.1952,-0.0863,-0.0192,0.0671,-0.0096,0.0767,0.1344
2026-06-18 09:15:00+05:30,BRITANNIA,0.0096,0.0096,1.8232,5230.5,5192.5,38.0,0.7265,0.3919,-0.0192,0.2427,-0.1151,0.0672,0.1727,0.2111,-0.3824,-0.3729,-0.1342
2026-06-19 09:15:00+05:30,BRITANNIA,-0.3156,-0.3716,0.4246,5240.0,5198.0,42.0,0.806,0.1439,-0.0064,0.2813,-0.1195,-0.1246,-0.1054,-0.1725,-0.1722,-0.5432,-0.1244
2026-06-22 09:15:00+05:30,BRITANNIA,0.1347,0.0289,1.2883,5216.0,5193.5,22.5,0.4323,0.0865,-0.0545,0.2603,-0.0122,-0.1923,-0.0096,0.2019,0.0481,0.077,0.0962
2026-06-23 09:15:00+05:30,BRITANNIA,0.192,-0.2872,0.8678,5235.5,5196.0,39.5,0.7571,0.2683,0.2011,0.2205,0.4037,0.2389,0.4205,0.3823,0.4609,0.1723,0.5091
2026-06-24 09:15:00+05:30,BRITANNIA,-0.2103,-0.343,1.8022,5291.0,5217.0,74.0,1.4178,1.1974,0.3547,0.3638,0.7459,-0.6626,-0.9939,-0.1231,0.9846,0.6383,0.6479
