Datetime,Symbol,RS_Open,Future_15m,Future_30m,Future_60m,Rank
2026-05-21 12:00:00+05:30,COALINDIA.NS,0.2347,-0.281,-0.4755,-0.4107,1
2026-05-21 12:15:00+05:30,COALINDIA.NS,-0.0953,-0.1951,-0.0867,-0.0542,2
2026-05-21 12:30:00+05:30,COALINDIA.NS,-0.0395,0.1086,0.0652,0.3583,2
2026-05-21 12:45:00+05:30,COALINDIA.NS,0.1643,-0.0434,0.0325,0.4447,1
2026-05-21 13:00:00+05:30,COALINDIA.NS,-0.1018,0.076,0.293,0.4449,2
2026-05-21 13:15:00+05:30,COALINDIA.NS,0.114,0.2169,0.4121,0.2277,1
2026-05-21 13:30:00+05:30,COALINDIA.NS,-0.0043,0.1948,0.1515,0.0,1
2026-05-21 13:45:00+05:30,COALINDIA.NS,0.2179,-0.0432,-0.1836,-0.0864,1
2026-05-21 14:00:00+05:30,COALINDIA.NS,0.0487,-0.1404,-0.1512,-0.4213,1
2026-05-21 14:15:00+05:30,COALINDIA.NS,-0.1419,-0.0108,0.0974,-0.4219,2
2026-05-21 14:30:00+05:30,COALINDIA.NS,-0.0389,0.1082,-0.2705,-0.6925,1
2026-05-21 14:45:00+05:30,COALINDIA.NS,0.0767,-0.3783,-0.5188,-0.8755,1
2026-05-21 15:00:00+05:30,COALINDIA.NS,-0.2617,-0.141,-0.4231,-0.4014,2
2026-05-21 15:15:00+05:30,COALINDIA.NS,-0.1821,-0.2825,-0.3585,-0.1412,2
2026-05-22 09:15:00+05:30,COALINDIA.NS,-0.5989,-0.0763,0.0218,0.109,2
2026-05-22 09:30:00+05:30,COALINDIA.NS,-0.0823,0.0981,0.2181,0.0,2
2026-05-22 09:45:00+05:30,COALINDIA.NS,-0.0455,0.1198,0.0871,-0.3159,2
2026-05-22 10:00:00+05:30,COALINDIA.NS,0.1084,-0.0326,-0.2176,-0.4461,1
2026-05-22 10:15:00+05:30,COALINDIA.NS,0.0943,-0.185,-0.4027,-0.5333,1
2026-05-22 10:30:00+05:30,COALINDIA.NS,-0.3061,-0.2181,-0.229,-0.1963,2
2026-05-22 10:45:00+05:30,COALINDIA.NS,-0.2536,-0.0109,-0.1311,0.2076,2
2026-05-22 11:00:00+05:30,COALINDIA.NS,0.0841,-0.1202,0.0328,0.0765,2
2026-05-22 11:15:00+05:30,COALINDIA.NS,-0.0632,0.1532,0.3392,-0.1094,2
2026-05-22 11:30:00+05:30,COALINDIA.NS,-0.0794,0.1857,0.0437,-0.0437,1
2026-05-22 11:45:00+05:30,COALINDIA.NS,0.2415,-0.1418,-0.4471,-0.2835,1
2026-05-22 12:00:00+05:30,COALINDIA.NS,-0.1588,-0.3058,-0.0874,-0.1857,2
2026-05-22 12:15:00+05:30,COALINDIA.NS,-0.1955,0.2191,0.1643,0.0767,1
2026-05-22 12:30:00+05:30,COALINDIA.NS,0.1554,-0.0547,-0.0984,0.0,2
2026-05-22 12:45:00+05:30,COALINDIA.NS,-0.1778,-0.0437,-0.0875,0.0984,2
2026-05-22 13:00:00+05:30,COALINDIA.NS,-0.0163,-0.0438,0.0985,0.2954,2
2026-05-22 13:15:00+05:30,COALINDIA.NS,-0.0022,0.1423,0.1861,0.1095,1
2026-05-22 13:30:00+05:30,COALINDIA.NS,0.1972,0.0437,0.1967,-0.1421,1
2026-05-22 13:45:00+05:30,COALINDIA.NS,0.0599,0.153,-0.0765,-0.2076,2
2026-05-22 14:00:00+05:30,COALINDIA.NS,0.2118,-0.2291,-0.3382,-0.3382,1
2026-05-22 14:15:00+05:30,COALINDIA.NS,-0.0544,-0.1093,-0.1312,-0.164,2
