Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,RS_60,<,1.8469,RS_60<1.8469,0.144,0.099,0.058,0.024,0.023,0.095,0.095,0.29,37,3.42,56.76,0.144
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,173.922,ORB_Low>173.922,0.147,0.102,0.047,0.015,0.02,0.095,0.094,-1.15,38,3.54,57.89,0.147
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,471.88,ORB_Low>471.88,0.123,0.087,0.029,0.008,0.021,0.095,0.076,-19.75,34,3.36,58.82,0.123
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,671.6525,ORB_Low>671.6525,0.106,0.077,0.024,0.006,0.025,0.095,0.066,-30.34,32,3.24,59.38,0.106
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,810.04,ORB_Low>810.04,0.106,0.076,0.024,-0.003,0.023,0.095,0.065,-32.05,32,3.42,59.38,0.106
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,1045.075,ORB_Low>1045.075,0.047,0.042,0.022,0.001,0.031,0.095,0.034,-64.49,28,3.41,53.57,0.047
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,1169.91,ORB_Low>1169.91,0.035,0.035,0.012,-0.007,0.027,0.095,0.024,-74.39,24,3.1,45.83,0.035
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,1256.2,ORB_Low>1256.2,0.037,0.046,0.037,0.002,0.035,0.095,0.035,-63.59,23,3.06,47.83,0.037
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,1356.38,ORB_Low>1356.38,0.033,0.039,0.033,0.014,0.042,0.095,0.032,-66.38,21,3.2,47.62,0.033
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,>,1450.7,ORB_Low>1450.7,0.03,0.008,0.013,0.002,0.032,0.095,0.016,-83.32,20,3.45,45.0,0.03
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,1525.45,ORB_Low<1525.45,0.247,0.156,0.07,0.026,0.003,0.095,0.151,59.02,22,3.59,72.73,0.247
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,1682.9,ORB_Low<1682.9,0.253,0.174,0.086,0.033,-0.001,0.095,0.163,71.36,24,3.72,75.0,0.253
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,1856.56,ORB_Low<1856.56,0.217,0.16,0.077,0.032,0.002,0.095,0.144,51.61,26,3.72,69.23,0.217
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,2330.165,ORB_Low<2330.165,0.202,0.13,0.056,0.021,0.0,0.095,0.124,30.42,27,3.55,66.67,0.202
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,2894.19,ORB_Low<2894.19,0.193,0.129,0.061,0.026,0.014,0.095,0.122,28.48,30,3.64,63.33,0.193
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,3683.975,ORB_Low<3683.975,0.193,0.129,0.065,0.027,0.015,0.095,0.123,29.58,30,3.44,63.33,0.193
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,4335.04,ORB_Low<4335.04,0.177,0.122,0.054,0.021,0.01,0.095,0.113,18.63,31,3.43,61.29,0.177
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,5214.475,ORB_Low<5214.475,0.177,0.117,0.052,0.021,0.013,0.095,0.111,16.49,31,3.31,61.29,0.177
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,5830.0,ORB_Low<5830.0,0.15,0.104,0.048,0.018,0.011,0.095,0.096,0.98,35,3.42,57.14,0.15
1,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,,ORB_Low,<,6943.475,ORB_Low<6943.475,0.16,0.111,0.049,0.025,0.018,0.095,0.103,8.21,37,3.48,59.46,0.16
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,>,-0.4617,Previous_Day_Return>-0.4617,0.247,0.168,0.102,0.04,-0.006,0.163,0.163,0.15,22,3.58,72.73,0.247
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,>,-0.3387,Previous_Day_Return>-0.3387,0.264,0.171,0.102,0.044,-0.008,0.163,0.171,4.71,20,3.42,70.0,0.264
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,<,0.14,Previous_Day_Return<0.14,0.189,0.142,0.051,0.009,-0.016,0.163,0.12,-26.23,20,4.61,75.0,0.189
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,<,0.185,Previous_Day_Return<0.185,0.189,0.157,0.065,0.014,-0.014,0.163,0.128,-21.28,20,4.28,75.0,0.189
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,<,0.2425,Previous_Day_Return<0.2425,0.163,0.133,0.056,0.014,-0.014,0.163,0.11,-32.48,22,4.37,72.73,0.163
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,<,0.3158,Previous_Day_Return<0.3158,0.253,0.174,0.087,0.032,-0.005,0.163,0.163,-0.02,24,4.35,75.0,0.253
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,Previous_Day_Return,<,0.458,Previous_Day_Return<0.458,0.253,0.179,0.093,0.036,-0.002,0.163,0.166,2.06,24,4.03,75.0,0.253
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,>,-1.7851,RS_60>-1.7851,0.253,0.144,0.064,0.033,0.0,0.163,0.15,-8.22,24,3.98,75.0,0.253
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,>,-1.1969,RS_60>-1.1969,0.253,0.167,0.081,0.039,-0.001,0.163,0.161,-1.35,24,4.26,75.0,0.253
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,>,-0.9006,RS_60>-0.9006,0.253,0.175,0.082,0.04,-0.011,0.163,0.164,0.31,24,4.55,75.0,0.253
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,>,-0.6961,RS_60>-0.6961,0.261,0.177,0.083,0.042,-0.012,0.163,0.168,2.78,23,4.6,73.91,0.261
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,>,-0.5438,RS_60>-0.5438,0.261,0.181,0.088,0.044,-0.01,0.163,0.17,4.33,23,4.86,73.91,0.261
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,>,-0.4051,RS_60>-0.4051,0.233,0.171,0.075,0.034,-0.018,0.163,0.153,-6.22,20,4.46,80.0,0.233
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,<,0.7473,RS_60<0.7473,0.238,0.156,0.116,0.035,0.009,0.163,0.159,-2.71,20,3.94,75.0,0.238
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,<,0.9512,RS_60<0.9512,0.228,0.134,0.079,0.021,0.003,0.163,0.139,-14.85,21,3.93,76.19,0.228
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,<,1.2435,RS_60<1.2435,0.252,0.146,0.089,0.031,-0.001,0.163,0.154,-5.26,23,4.03,73.91,0.252
2,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9,RS_60,<,1.8469,RS_60<1.8469,0.252,0.158,0.09,0.033,0.005,0.163,0.159,-2.69,23,3.81,73.91,0.252
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-1.7851,RS_60>-1.7851,0.264,0.139,0.08,0.044,-0.007,0.171,0.157,-8.4,20,3.62,70.0,0.264
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-1.1969,RS_60>-1.1969,0.264,0.164,0.101,0.051,-0.005,0.171,0.169,-1.02,20,3.87,70.0,0.264
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-0.9006,RS_60>-0.9006,0.264,0.172,0.103,0.053,-0.016,0.171,0.172,0.85,20,4.11,70.0,0.264
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-0.6961,RS_60>-0.6961,0.264,0.172,0.103,0.056,-0.017,0.171,0.173,1.09,20,4.33,70.0,0.264
3,Previous_Day_Return + RS_60 + ORB_Low,15 Min,21,ORB_Low<1682.9 AND Previous_Day_Return>-0.3387,RS_60,>,-0.5438,RS_60>-0.5438,0.264,0.176,0.11,0.058,-0.016,0.171,0.176,2.8,20,4.58,70.0,0.264
