Combination,Timeframe,Rank,60,120,180,365,730,Score,Trades,Coverage,Win Rate,Avg Return,Median Return,Overall Rank
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,5,-0.015,-0.128,-0.056,-0.046,-0.042,-0.062,38,3.33,47.37,-0.015,-0.101,66
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,15,-0.048,-0.098,-0.054,-0.033,-0.012,-0.062,38,3.33,39.47,-0.039,-0.089,67
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,22,-0.151,-0.03,-0.006,0.004,0.009,-0.063,38,3.33,36.84,-0.118,-0.056,68
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,18,-0.093,-0.091,-0.012,-0.019,-0.016,-0.065,38,3.33,50.0,-0.093,0.01,69
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,29,-0.093,-0.076,-0.038,-0.014,-0.014,-0.065,38,3.33,39.47,-0.093,-0.044,70
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,8,-0.021,-0.126,-0.076,-0.044,-0.054,-0.067,38,3.33,47.37,-0.021,-0.016,71
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,8,-0.068,-0.093,-0.049,-0.038,-0.034,-0.067,38,3.33,42.11,-0.068,-0.115,72
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,4,-0.081,-0.076,-0.057,-0.04,-0.008,-0.069,38,3.33,42.11,-0.081,-0.129,73
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,8,-0.085,-0.071,-0.061,-0.044,-0.04,-0.07,38,3.33,39.47,-0.085,-0.085,74
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,4,-0.075,-0.077,-0.052,-0.067,-0.05,-0.07,38,3.33,52.63,-0.075,0.038,75
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,9,-0.084,-0.089,-0.061,-0.053,-0.039,-0.076,38,3.33,34.21,-0.084,-0.062,76
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,9,-0.04,-0.124,-0.089,-0.06,-0.026,-0.078,38,3.33,47.37,-0.04,-0.033,77
