Combination,60,120,180,365,730,Score,Winner TF,Best Rank,Trades,Coverage,Win Rate,Avg Return,Rank
RS_15 + ATR_Percent + RVOL,0.223,0.148,0.084,0.041,0.021,0.145,60 Min,23,38,3.33,63.16,0.223,67
ORB_Range + RS_60 + RVOL,0.16,0.182,0.117,0.074,0.014,0.145,60 Min,24,77,3.33,57.14,0.182,68
RS_60 + ORB_Low + ATR_Percent,0.262,0.091,0.088,0.057,0.042,0.145,60 Min,6,38,3.33,60.53,0.262,69
ORB_Range + RS_60 + Gap,0.23,0.102,0.113,0.055,0.059,0.142,60 Min,20,38,3.33,55.26,0.23,70
Previous_Day_Return + RS_60 + Gap,0.246,0.103,0.088,0.052,0.036,0.142,60 Min,16,38,3.33,52.63,0.246,71
RS_15 + Previous_Day_Return + ATR_Percent,0.244,0.074,0.104,0.084,0.058,0.141,60 Min,5,38,3.33,55.26,0.244,72
VWAP_Distance + RS_15 + RS_60,0.209,0.147,0.072,0.057,0.026,0.14,60 Min,2,38,3.33,55.26,0.209,73
VWAP_Distance + RS_60 + Gap,0.248,0.084,0.084,0.062,0.031,0.138,60 Min,28,38,3.33,60.53,0.248,74
Previous_Day_Return + RS_60 + ATR_Percent,0.231,0.116,0.08,0.037,0.066,0.137,60 Min,11,38,3.33,55.26,0.231,75
Previous_Day_Return + ORB_Low + ATR_Percent,0.205,0.103,0.121,0.059,0.054,0.136,60 Min,22,38,3.33,55.26,0.205,76
RS_60 + ATR_Percent + RVOL,0.236,0.1,0.071,0.061,0.035,0.136,60 Min,24,38,3.33,65.79,0.236,77
VWAP_Distance + RS_15 + Gap,0.224,0.106,0.089,0.048,0.032,0.135,60 Min,12,38,3.33,68.42,0.224,78
VWAP_Distance + ORB_Range + RVOL,0.203,0.104,0.104,0.061,0.026,0.133,60 Min,28,38,3.33,47.37,0.203,79
ORB_Range + RS_15 + Gap,0.207,0.112,0.101,0.046,0.051,0.133,60 Min,10,38,3.33,44.74,0.207,80
VWAP_Distance + RS_60 + ATR_Percent,0.227,0.099,0.076,0.052,0.038,0.132,60 Min,10,38,3.33,63.16,0.236,81
VWAP_Distance + RS_15 + ORB_Low,0.199,0.107,0.106,0.044,0.029,0.13,60 Min,12,38,3.33,60.53,0.211,82
ORB_Range + ORB_Low + Gap,0.207,0.105,0.077,0.052,0.031,0.127,60 Min,12,38,3.33,68.42,0.207,83
ORB_Range + Previous_Day_Return + RVOL,0.182,0.102,0.089,0.036,0.044,0.118,60 Min,13,38,3.33,55.26,0.182,84
