Round,Combination,Timeframe,Best Rank,Locked Filters,Factor,Operator,Threshold Value,Filter,60,120,180,365,730,Baseline,Score,Improvement %,Trades,Coverage,Win Rate,Avg Return
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.5258,VWAP_Distance>-0.5258,0.227,0.234,0.115,0.017,-0.087,0.177,0.175,-1.06,31,3.79,64.52,0.227
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.386,VWAP_Distance>-0.386,0.234,0.238,0.116,0.018,-0.076,0.177,0.179,1.12,30,3.88,63.33,0.234
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.3068,VWAP_Distance>-0.3068,0.234,0.248,0.136,0.03,-0.071,0.177,0.188,6.12,30,4.1,63.33,0.234
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.2523,VWAP_Distance>-0.2523,0.185,0.222,0.118,0.017,-0.086,0.177,0.158,-10.99,29,4.2,62.07,0.185
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.2064,VWAP_Distance>-0.2064,0.189,0.225,0.118,0.016,-0.092,0.177,0.16,-9.77,27,4.19,62.96,0.189
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.1678,VWAP_Distance>-0.1678,0.189,0.225,0.13,0.024,-0.091,0.177,0.163,-7.78,27,4.4,62.96,0.189
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.13,VWAP_Distance>-0.13,0.213,0.239,0.136,0.031,-0.083,0.177,0.178,0.66,25,4.33,68.0,0.213
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.0972,VWAP_Distance>-0.0972,0.192,0.213,0.119,0.027,-0.089,0.177,0.159,-10.12,24,4.5,66.67,0.192
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.0635,VWAP_Distance>-0.0635,0.102,0.17,0.1,0.025,-0.091,0.177,0.111,-37.55,22,4.49,63.64,0.102
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,>,-0.0274,VWAP_Distance>-0.0274,0.101,0.173,0.095,0.019,-0.09,0.177,0.109,-38.36,20,4.66,65.0,0.101
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,<,0.1241,VWAP_Distance<0.1241,0.238,0.232,0.109,0.011,-0.071,0.177,0.176,-0.41,21,3.55,61.9,0.238
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,<,0.1664,VWAP_Distance<0.1664,0.227,0.225,0.099,-0.003,-0.095,0.177,0.167,-5.88,22,3.5,63.64,0.227
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,<,0.216,VWAP_Distance<0.216,0.202,0.193,0.086,-0.005,-0.09,0.177,0.145,-17.99,25,3.68,60.0,0.202
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,<,0.2731,VWAP_Distance<0.2731,0.17,0.136,0.048,-0.017,-0.086,0.177,0.107,-39.54,26,3.62,57.69,0.17
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,<,0.3524,VWAP_Distance<0.3524,0.21,0.146,0.041,-0.016,-0.09,0.177,0.123,-30.48,28,3.68,60.71,0.21
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,VWAP_Distance,<,0.4995,VWAP_Distance<0.4995,0.215,0.139,0.049,-0.012,-0.074,0.177,0.125,-29.46,30,3.71,63.33,0.215
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-1.0075,Gap>-1.0075,0.231,0.234,0.125,0.025,-0.078,0.177,0.18,1.56,30,3.75,63.33,0.231
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-0.5715,Gap>-0.5715,0.231,0.208,0.109,0.021,-0.066,0.177,0.168,-4.96,30,4.02,63.33,0.231
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-0.3735,Gap>-0.3735,0.237,0.211,0.111,0.021,-0.072,0.177,0.171,-3.14,29,4.15,62.07,0.237
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-0.2424,Gap>-0.2424,0.254,0.237,0.12,0.026,-0.072,0.177,0.188,6.13,27,4.08,62.96,0.254
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-0.1436,Gap>-0.1436,0.254,0.218,0.099,0.016,-0.092,0.177,0.176,-0.42,27,4.39,62.96,0.254
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-0.0708,Gap>-0.0708,0.238,0.211,0.093,0.019,-0.097,0.177,0.168,-5.17,25,4.33,60.0,0.238
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,-0.0137,Gap>-0.0137,0.238,0.236,0.11,0.027,-0.095,0.177,0.18,1.7,25,4.6,60.0,0.238
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,0.0052,Gap>0.0052,0.246,0.233,0.099,0.026,-0.089,0.177,0.18,1.53,23,4.62,60.87,0.246
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,>,0.0543,Gap>0.0543,0.246,0.181,0.055,0.0,-0.112,0.177,0.151,-14.46,23,4.97,60.87,0.246
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,<,0.5189,Gap<0.5189,0.135,0.209,0.1,-0.0,-0.091,0.177,0.13,-26.68,21,3.3,66.67,0.135
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,<,0.6289,Gap<0.6289,0.261,0.255,0.122,0.012,-0.087,0.177,0.194,9.49,25,3.69,68.0,0.261
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,<,0.7939,Gap<0.7939,0.213,0.193,0.09,0.005,-0.093,0.177,0.151,-14.62,29,3.97,65.52,0.213
2,VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,Previous_Day_Return<0.185,Gap,<,1.166,Gap<1.166,0.213,0.209,0.102,0.013,-0.091,0.177,0.159,-10.0,29,3.68,65.52,0.213
