Datetime,Symbol,Gap,RVOL,Future_15m,Future_30m,Future_60m,Rank
2026-06-22 09:15:00+05:30,COALINDIA.NS,0.1662,2.1975,0.0,0.2432,0.0995,10
2026-06-23 09:15:00+05:30,COALINDIA.NS,0.4454,0.4941,-0.0446,0.0557,-0.1003,27
2026-06-24 09:15:00+05:30,COALINDIA.NS,0.0562,1.9506,0.0338,0.1575,-0.0788,5
2026-06-25 09:15:00+05:30,COALINDIA.NS,0.1133,3.2548,-0.4462,-0.286,-0.7437,4
2026-05-19 09:15:00+05:30,DRREDDY.NS,0.1953,1.3995,-0.4617,-0.8042,-0.8713,9
2026-05-20 09:15:00+05:30,DRREDDY.NS,0.8613,0.4435,-0.3084,-0.1429,-0.0376,28
2026-05-21 09:15:00+05:30,DRREDDY.NS,0.3555,2.9327,0.1357,-0.0679,-0.1056,3
2026-05-22 09:15:00+05:30,DRREDDY.NS,0.1062,0.3604,-0.4026,-0.6154,-0.3723,26
2026-05-25 09:15:00+05:30,DRREDDY.NS,0.9792,0.9368,-0.3264,-0.2429,-0.8123,20
2026-05-26 09:15:00+05:30,DRREDDY.NS,0.3451,1.0291,-0.2098,-0.1124,-0.1199,8
2026-05-27 09:15:00+05:30,DRREDDY.NS,0.241,1.0598,-0.3584,-0.2539,-0.5451,18
2026-05-29 09:15:00+05:30,DRREDDY.NS,0.1061,1.0633,-0.4931,-0.3034,-0.3413,22
2026-06-01 09:15:00+05:30,DRREDDY.NS,0.1212,1.0185,0.0384,-0.0845,0.4994,7
2026-06-02 09:15:00+05:30,DRREDDY.NS,0.2643,1.8647,0.0078,0.0157,-0.2275,11
2026-06-03 09:15:00+05:30,DRREDDY.NS,0.2983,0.6818,0.0553,0.4978,-0.0553,18
2026-06-04 09:15:00+05:30,DRREDDY.NS,0.4196,0.4674,0.0399,0.638,1.4514,22
2026-06-05 09:15:00+05:30,DRREDDY.NS,0.4808,1.8653,0.1179,-0.0471,0.1415,3
2026-06-08 09:15:00+05:30,DRREDDY.NS,0.5633,1.5359,-0.6188,-0.4719,-0.3403,11
2026-06-09 09:15:00+05:30,DRREDDY.NS,0.196,0.3322,-0.2099,-0.1088,0.0389,30
2026-06-10 09:15:00+05:30,DRREDDY.NS,0.1573,2.8292,0.2832,0.2202,0.4955,4
2026-06-11 09:15:00+05:30,DRREDDY.NS,0.055,0.2638,-0.4056,-0.975,-0.624,27
2026-06-12 09:15:00+05:30,DRREDDY.NS,1.1364,1.6861,-0.6806,-0.8136,-0.532,9
2026-06-15 09:15:00+05:30,DRREDDY.NS,1.4113,1.751,0.3885,0.1709,-0.1554,15
2026-06-16 09:15:00+05:30,DRREDDY.NS,0.0469,0.2129,0.187,0.0,-0.0234,29
2026-06-17 09:15:00+05:30,DRREDDY.NS,0.1252,1.9695,0.0629,-0.1493,-0.1415,7
2026-06-18 09:15:00+05:30,DRREDDY.NS,0.4884,1.6922,-0.1098,-0.4236,-0.3765,5
2026-06-19 09:15:00+05:30,DRREDDY.NS,0.1969,0.3253,0.1739,-0.1344,-0.2845,29
2026-06-22 09:15:00+05:30,DRREDDY.NS,0.2357,3.4753,-0.1722,-0.0078,0.0861,6
2026-06-23 09:15:00+05:30,DRREDDY.NS,0.6192,4.0574,0.4941,0.7905,0.0532,2
2026-06-24 09:15:00+05:30,DRREDDY.NS,0.5149,1.8145,0.105,0.3075,-0.0675,6
2026-06-25 09:15:00+05:30,DRREDDY.NS,0.4671,0.1985,0.4519,0.6519,0.6667,30
2026-05-19 09:15:00+05:30,HINDUNILVR.NS,0.4288,0.5079,-0.1589,-0.1942,0.5472,24
2026-05-20 09:15:00+05:30,HINDUNILVR.NS,0.2645,2.6367,0.2357,0.4125,0.2085,7
2026-05-21 09:15:00+05:30,HINDUNILVR.NS,0.5748,0.9003,0.0362,-0.113,-0.2712,15
2026-05-22 09:15:00+05:30,HINDUNILVR.NS,0.1285,0.4209,-0.0413,0.3349,0.5092,24
2026-05-25 09:15:00+05:30,HINDUNILVR.NS,0.6716,2.5051,-0.3498,-0.453,-0.157,7
2026-05-26 09:15:00+05:30,HINDUNILVR.NS,0.1366,0.3194,-0.0273,-0.1456,0.232,25
2026-05-27 09:15:00+05:30,HINDUNILVR.NS,0.1357,1.1812,-0.1767,-0.2537,-0.2944,16
2026-05-29 09:15:00+05:30,HINDUNILVR.NS,1.8582,4.0797,-0.6395,-0.7076,-0.9253,4
2026-06-01 09:15:00+05:30,HINDUNILVR.NS,0.0231,0.8897,-0.1977,-0.1883,-0.2213,9
2026-06-02 09:15:00+05:30,HINDUNILVR.NS,0.4739,1.1822,-0.2695,-0.1973,-0.0192,17
2026-06-03 09:15:00+05:30,HINDUNILVR.NS,0.2338,0.5851,0.149,-0.0865,0.1394,22
2026-06-04 09:15:00+05:30,HINDUNILVR.NS,0.1435,1.5398,0.0238,0.119,0.0095,11
2026-06-05 09:15:00+05:30,HINDUNILVR.NS,0.3463,0.6793,0.0817,0.3124,0.6585,19
2026-06-08 09:15:00+05:30,HINDUNILVR.NS,0.8485,1.7473,0.1472,0.3229,0.1472,9
2026-06-09 09:15:00+05:30,HINDUNILVR.NS,0.3318,0.3354,0.2173,0.1984,-0.2834,29
2026-06-10 09:15:00+05:30,HINDUNILVR.NS,0.0422,8.1867,-0.0319,0.2875,-0.2327,1
2026-06-11 09:15:00+05:30,HINDUNILVR.NS,0.6223,0.0941,-0.0093,-0.1067,-0.4315,30
2026-06-12 09:15:00+05:30,HINDUNILVR.NS,0.8038,3.05,0.2312,-0.0277,-0.2959,2
2026-06-15 09:15:00+05:30,HINDUNILVR.NS,1.3786,0.4591,-0.0229,-0.2331,-0.6217,28
2026-06-16 09:15:00+05:30,HINDUNILVR.NS,0.3016,4.6992,0.1007,-0.1236,0.2884,2
2026-06-17 09:15:00+05:30,HINDUNILVR.NS,0.15,0.5454,-0.0406,0.2755,0.1264,23
2026-06-18 09:15:00+05:30,HINDUNILVR.NS,0.2273,0.2287,0.2455,0.5683,0.2955,27
2026-06-19 09:15:00+05:30,HINDUNILVR.NS,0.4733,1.2002,-0.0364,0.2185,0.1001,12
2026-06-22 09:15:00+05:30,HINDUNILVR.NS,0.0772,1.0357,0.0546,-0.0546,-0.0773,18
2026-06-23 09:15:00+05:30,HINDUNILVR.NS,0.9932,1.3187,-0.023,0.2071,-0.1841,10
2026-06-24 09:15:00+05:30,HINDUNILVR.NS,0.0972,1.2634,-0.5978,-0.6905,0.0139,12
2026-06-25 09:15:00+05:30,HINDUNILVR.NS,0.1897,0.7612,0.4139,1.0393,0.3173,18
2026-05-19 09:15:00+05:30,SUNPHARMA.NS,0.3043,2.3475,-0.1784,-0.2676,-0.0525,4
2026-05-20 09:15:00+05:30,SUNPHARMA.NS,0.1275,0.8894,-0.3019,-0.0318,-0.1271,21
2026-05-21 09:15:00+05:30,SUNPHARMA.NS,0.5106,0.4981,0.6731,0.2511,0.1549,21
2026-05-22 09:15:00+05:30,SUNPHARMA.NS,0.5922,0.6409,-0.4167,-0.9177,-1.4821,12
2026-05-25 09:15:00+05:30,SUNPHARMA.NS,0.0326,3.0214,-0.1575,-0.2173,0.2173,6
2026-05-26 09:15:00+05:30,SUNPHARMA.NS,0.1847,1.2491,0.3176,0.0602,-0.4107,6
2026-05-27 09:15:00+05:30,SUNPHARMA.NS,0.863,0.4142,-0.1195,-0.0869,-0.3747,28
2026-05-29 09:15:00+05:30,SUNPHARMA.NS,0.3741,0.925,-0.1628,0.0108,-0.1356,24
2026-06-01 09:15:00+05:30,SUNPHARMA.NS,0.6948,0.8221,0.7253,0.9276,1.3268,11
2026-06-02 09:15:00+05:30,SUNPHARMA.NS,0.0445,2.74,0.1743,0.0,-0.1237,4
2026-06-03 09:15:00+05:30,SUNPHARMA.NS,0.0448,0.7541,0.2367,0.1014,-0.062,16
2026-06-04 09:15:00+05:30,SUNPHARMA.NS,0.0839,0.4165,0.0785,0.4486,0.1346,23
2026-06-05 09:15:00+05:30,SUNPHARMA.NS,0.4887,0.8102,-0.1172,-0.1451,-0.0056,15
2026-06-08 09:15:00+05:30,SUNPHARMA.NS,0.5886,4.5206,-0.4617,-0.1279,-0.4339,2
2026-06-09 09:15:00+05:30,SUNPHARMA.NS,0.1286,0.4274,0.2402,0.0559,0.1285,25
2026-06-10 09:15:00+05:30,SUNPHARMA.NS,0.0,0.8925,-0.0507,0.0563,0.4448,20
2026-06-11 09:15:00+05:30,SUNPHARMA.NS,0.3079,0.3965,-0.0615,-0.1453,0.1061,24
2026-06-12 09:15:00+05:30,SUNPHARMA.NS,0.6577,0.9396,-0.2001,-0.2779,0.0333,19
2026-06-15 09:15:00+05:30,SUNPHARMA.NS,0.4038,2.9116,-0.0388,-0.1053,-0.2328,7
2026-06-16 09:15:00+05:30,SUNPHARMA.NS,0.1663,0.2502,0.0721,0.0499,-0.0388,27
2026-06-17 09:15:00+05:30,SUNPHARMA.NS,0.6109,3.1548,0.3694,0.0937,0.0827,6
2026-06-18 09:15:00+05:30,SUNPHARMA.NS,0.1208,1.3885,-0.1533,-0.3777,-0.4981,10
2026-06-19 09:15:00+05:30,SUNPHARMA.NS,0.0767,1.117,-0.1853,-0.0545,-0.3979,14
2026-06-22 09:15:00+05:30,SUNPHARMA.NS,0.1412,0.664,0.1251,0.0,0.5438,25
2026-06-23 09:15:00+05:30,SUNPHARMA.NS,0.2415,2.6453,0.3183,0.6844,0.4669,5
2026-06-24 09:15:00+05:30,SUNPHARMA.NS,0.3058,0.2388,-0.112,-0.2667,-0.1654,28
2026-06-25 09:15:00+05:30,SUNPHARMA.NS,0.1761,0.3738,0.1389,0.3847,0.6357,26
2026-05-19 09:15:00+05:30,TATACONSUM.NS,0.195,0.7249,-0.1786,-0.2842,-0.2111,19
2026-05-20 09:15:00+05:30,TATACONSUM.NS,0.3713,1.0768,0.1581,0.0666,-0.2164,17
2026-05-21 09:15:00+05:30,TATACONSUM.NS,0.5212,1.9687,-0.0913,-0.1411,0.0083,6
2026-05-22 09:15:00+05:30,TATACONSUM.NS,0.2259,0.3283,-0.2423,0.4762,0.3091,28
2026-05-25 09:15:00+05:30,TATACONSUM.NS,0.3188,2.2278,-0.4099,-0.4099,-0.4684,8
2026-05-26 09:15:00+05:30,TATACONSUM.NS,0.3875,0.6623,0.051,0.4161,0.7643,13
2026-05-27 09:15:00+05:30,TATACONSUM.NS,0.2274,0.6669,-0.0084,-0.0505,0.6733,23
2026-05-29 09:15:00+05:30,TATACONSUM.NS,0.0748,3.2485,-0.2815,-0.0248,-0.679,6
2026-06-01 09:15:00+05:30,TATACONSUM.NS,0.366,0.422,0.1543,0.3429,0.1286,22
2026-06-02 09:15:00+05:30,TATACONSUM.NS,1.5113,3.045,0.0702,-0.2809,-0.2283,3
2026-06-03 09:15:00+05:30,TATACONSUM.NS,0.3628,0.5906,0.0431,-0.6118,-0.3791,21
2026-06-04 09:15:00+05:30,TATACONSUM.NS,0.5245,0.4012,0.0087,0.4258,0.5214,25
2026-06-05 09:15:00+05:30,TATACONSUM.NS,0.2784,1.6708,-0.3552,-0.5025,-0.979,4
2026-06-08 09:15:00+05:30,TATACONSUM.NS,0.9727,0.3956,-0.2048,-0.0979,-0.561,27
2026-06-09 09:15:00+05:30,TATACONSUM.NS,0.9309,1.6507,-0.2439,-0.4607,-0.813,8
2026-06-10 09:15:00+05:30,TATACONSUM.NS,0.271,2.5645,0.347,0.8098,0.3737,5
2026-06-11 09:15:00+05:30,TATACONSUM.NS,0.2708,0.3352,-0.0269,-0.2777,-0.4569,26
2026-06-12 09:15:00+05:30,TATACONSUM.NS,1.0193,0.7478,-0.0991,-0.2613,0.0451,21
2026-06-15 09:15:00+05:30,TATACONSUM.NS,1.4355,2.2563,0.1357,0.0,-0.1538,11
2026-06-16 09:15:00+05:30,TATACONSUM.NS,1.1384,1.8763,0.5925,0.9067,1.0593,5
2026-06-17 09:15:00+05:30,TATACONSUM.NS,0.3272,0.5431,0.3277,0.2391,0.1506,24
2026-06-18 09:15:00+05:30,TATACONSUM.NS,0.3203,0.4818,0.0976,-0.3727,-0.3815,22
2026-06-19 09:15:00+05:30,TATACONSUM.NS,0.2972,0.8577,0.018,-0.4147,0.3245,16
2026-06-22 09:15:00+05:30,TATACONSUM.NS,0.0719,2.997,-0.09,0.036,-0.135,8
2026-06-23 09:15:00+05:30,TATACONSUM.NS,0.3145,0.8158,0.2593,0.3934,0.2593,17
2026-06-24 09:15:00+05:30,TATACONSUM.NS,0.272,0.5083,-0.325,-0.3341,-0.0361,23
2026-06-25 09:15:00+05:30,TATACONSUM.NS,0.6015,0.753,0.3356,0.5079,-0.1542,20
2026-05-19 09:15:00+05:30,DIVISLAB.NS,0.41,1.5957,-0.2163,-0.3029,-0.1731,7
2026-05-20 09:15:00+05:30,DIVISLAB.NS,0.2966,1.1218,-0.2303,0.0072,-0.4534,16
2026-05-21 09:15:00+05:30,DIVISLAB.NS,0.1668,0.4044,0.0217,-0.2537,-0.4493,24
2026-05-22 09:15:00+05:30,DIVISLAB.NS,0.2257,0.6081,0.0877,-0.4894,-0.6355,14
2026-05-25 09:15:00+05:30,DIVISLAB.NS,1.6989,19.2483,0.6941,1.4466,0.1023,1
2026-05-26 09:15:00+05:30,DIVISLAB.NS,0.0222,0.2855,-0.6539,-0.8842,-0.5573,28
2026-05-27 09:15:00+05:30,DIVISLAB.NS,0.6229,0.1359,-0.1926,0.0593,-0.1333,30
2026-05-29 09:15:00+05:30,DIVISLAB.NS,0.3387,2.4796,-0.2216,0.0295,-0.3102,13
2026-06-01 09:15:00+05:30,DIVISLAB.NS,0.3068,0.5691,-0.2192,0.2419,0.6047,15
2026-06-02 09:15:00+05:30,DIVISLAB.NS,0.3285,0.9516,0.0154,0.254,0.5773,22
2026-06-03 09:15:00+05:30,DIVISLAB.NS,0.4669,0.9161,0.215,0.6295,0.3608,11
2026-06-04 09:15:00+05:30,DIVISLAB.NS,0.0228,1.5529,1.078,1.0477,0.9945,10
2026-06-05 09:15:00+05:30,DIVISLAB.NS,0.0,1.1176,0.129,0.1821,0.3186,7
2026-06-08 09:15:00+05:30,DIVISLAB.NS,0.4303,3.8874,-0.06,0.3522,-0.1649,3
2026-06-09 09:15:00+05:30,DIVISLAB.NS,0.9069,0.3569,1.9757,2.3784,2.3632,28
2026-06-10 09:15:00+05:30,DIVISLAB.NS,0.2589,1.1431,0.3331,0.0296,0.4812,16
2026-06-11 09:15:00+05:30,DIVISLAB.NS,0.0603,0.8009,-0.0896,-0.2838,0.1269,13
2026-06-12 09:15:00+05:30,DIVISLAB.NS,0.7588,0.3125,-0.3064,-0.3662,-0.1794,29
2026-06-15 09:15:00+05:30,DIVISLAB.NS,0.6483,2.1268,-0.2034,-0.1205,0.1808,13
2026-06-16 09:15:00+05:30,DIVISLAB.NS,0.0831,1.1738,-0.2487,-0.4296,-0.5049,9
2026-06-17 09:15:00+05:30,DIVISLAB.NS,0.3277,1.1338,-0.3869,-0.3051,-0.4464,13
2026-06-18 09:15:00+05:30,DIVISLAB.NS,0.0225,0.859,-0.105,-0.2325,-0.0075,18
2026-06-19 09:15:00+05:30,DIVISLAB.NS,0.3251,0.9465,-0.1184,-0.0148,-0.0518,15
2026-06-22 09:15:00+05:30,DIVISLAB.NS,0.1038,2.3228,-0.2818,-0.2743,-0.0519,9
2026-06-23 09:15:00+05:30,DIVISLAB.NS,0.0368,1.8334,-0.102,0.0655,0.0291,7
2026-06-24 09:15:00+05:30,DIVISLAB.NS,0.696,0.2257,-0.4634,-0.7577,-0.7871,29
2026-06-25 09:15:00+05:30,DIVISLAB.NS,0.1036,0.5016,0.1633,-0.2005,-0.2227,25
2026-05-19 09:15:00+05:30,DMART.NS,0.1393,0.5884,-1.2745,-1.5647,-1.4649,21
2026-05-20 09:15:00+05:30,DMART.NS,0.5595,3.8168,0.3177,0.0836,-0.4538,4
2026-05-21 09:15:00+05:30,DMART.NS,0.1009,2.6783,-1.2882,-1.6823,-1.989,4
2026-05-22 09:15:00+05:30,DMART.NS,0.2636,0.4349,-0.3836,-0.4728,-0.9432,23
2026-05-25 09:15:00+05:30,DMART.NS,0.804,1.2937,-0.4348,-0.5507,-0.9034,15
