Datetime,Symbol,GAP,Future_15m,Future_30m,Future_60m,Rank
2026-05-26 09:15:00+05:30,COALINDIA.NS,0.4039,0.108,0.5507,1.069,2
2026-05-27 09:15:00+05:30,COALINDIA.NS,-5.9688,0.4217,0.8207,1.801,30
2026-05-29 09:15:00+05:30,COALINDIA.NS,-0.8854,-0.2993,-0.8873,0.6628,29
2026-06-01 09:15:00+05:30,COALINDIA.NS,-0.3164,1.9067,1.5472,2.3861,25
2026-06-02 09:15:00+05:30,COALINDIA.NS,-0.697,-0.3436,0.1933,1.5679,15
2026-06-03 09:15:00+05:30,COALINDIA.NS,0.0318,-0.6908,-1.3293,-1.7061,16
2026-06-04 09:15:00+05:30,COALINDIA.NS,0.3705,-0.1581,0.0948,-0.2529,2
2026-06-05 09:15:00+05:30,COALINDIA.NS,0.3428,-0.0627,-0.2928,-1.0665,18
2026-06-08 09:15:00+05:30,COALINDIA.NS,-0.8054,0.203,-0.2671,0.0,10
2026-06-09 09:15:00+05:30,COALINDIA.NS,0.0861,0.1304,-0.2608,0.3912,25
2026-06-10 09:15:00+05:30,COALINDIA.NS,-0.075,0.27,0.0648,0.324,17
2026-06-11 09:15:00+05:30,COALINDIA.NS,-0.0665,-0.2332,-0.3221,-0.1666,6
2026-06-12 09:15:00+05:30,COALINDIA.NS,0.8977,-0.0562,-0.4721,-0.3709,14
2026-06-15 09:15:00+05:30,COALINDIA.NS,1.0228,-0.0562,-0.3035,-0.6295,19
2026-06-16 09:15:00+05:30,COALINDIA.NS,0.5855,0.1125,0.7876,0.4275,9
2026-06-17 09:15:00+05:30,COALINDIA.NS,0.0111,0.1334,-0.0778,-0.1001,23
2026-06-18 09:15:00+05:30,COALINDIA.NS,0.3185,0.2635,0.0768,-0.1866,11
2026-06-19 09:15:00+05:30,COALINDIA.NS,-0.0552,0.2549,0.4654,0.4987,7
2026-06-22 09:15:00+05:30,COALINDIA.NS,0.1662,0.0,0.2432,0.0995,20
2026-06-23 09:15:00+05:30,COALINDIA.NS,0.4454,-0.0446,0.0557,-0.1003,6
2026-06-24 09:15:00+05:30,COALINDIA.NS,-0.0562,0.0338,0.1575,-0.0788,24
2026-06-25 09:15:00+05:30,COALINDIA.NS,0.1133,-0.4462,-0.286,-0.7437,22
2026-05-19 09:15:00+05:30,DRREDDY.NS,0.1953,-0.4617,-0.8042,-0.8713,12
2026-05-20 09:15:00+05:30,DRREDDY.NS,-0.8613,-0.3084,-0.1429,-0.0376,21
2026-05-21 09:15:00+05:30,DRREDDY.NS,0.3555,0.1357,-0.0679,-0.1056,24
2026-05-22 09:15:00+05:30,DRREDDY.NS,0.1062,-0.4026,-0.6154,-0.3723,22
2026-05-25 09:15:00+05:30,DRREDDY.NS,0.9792,-0.3264,-0.2429,-0.8123,11
2026-05-26 09:15:00+05:30,DRREDDY.NS,0.3451,-0.2098,-0.1124,-0.1199,6
2026-05-27 09:15:00+05:30,DRREDDY.NS,0.241,-0.3584,-0.2539,-0.5451,13
2026-05-29 09:15:00+05:30,DRREDDY.NS,-0.1061,-0.4931,-0.3034,-0.3413,25
2026-06-01 09:15:00+05:30,DRREDDY.NS,-0.1212,0.0384,-0.0845,0.4994,22
2026-06-02 09:15:00+05:30,DRREDDY.NS,-0.2643,0.0078,0.0157,-0.2275,8
2026-06-03 09:15:00+05:30,DRREDDY.NS,-0.2983,0.0553,0.4978,-0.0553,22
2026-06-04 09:15:00+05:30,DRREDDY.NS,-0.4196,0.0399,0.638,1.4514,21
2026-06-05 09:15:00+05:30,DRREDDY.NS,0.4808,0.1179,-0.0471,0.1415,10
2026-06-08 09:15:00+05:30,DRREDDY.NS,-0.5633,-0.6188,-0.4719,-0.3403,4
2026-06-09 09:15:00+05:30,DRREDDY.NS,0.196,-0.2099,-0.1088,0.0389,23
2026-06-10 09:15:00+05:30,DRREDDY.NS,-0.1573,0.2832,0.2202,0.4955,22
2026-06-11 09:15:00+05:30,DRREDDY.NS,-0.055,-0.4056,-0.975,-0.624,4
2026-06-12 09:15:00+05:30,DRREDDY.NS,1.1364,-0.6806,-0.8136,-0.532,9
2026-06-15 09:15:00+05:30,DRREDDY.NS,1.4113,0.3885,0.1709,-0.1554,13
2026-06-16 09:15:00+05:30,DRREDDY.NS,-0.0469,0.187,0.0,-0.0234,30
2026-06-17 09:15:00+05:30,DRREDDY.NS,-0.1252,0.0629,-0.1493,-0.1415,24
2026-06-18 09:15:00+05:30,DRREDDY.NS,0.4884,-0.1098,-0.4236,-0.3765,4
2026-06-19 09:15:00+05:30,DRREDDY.NS,-0.1969,0.1739,-0.1344,-0.2845,11
2026-06-22 09:15:00+05:30,DRREDDY.NS,0.2357,-0.1722,-0.0078,0.0861,17
2026-06-23 09:15:00+05:30,DRREDDY.NS,0.6192,0.4941,0.7905,0.0532,5
2026-06-24 09:15:00+05:30,DRREDDY.NS,0.5149,0.105,0.3075,-0.0675,5
2026-06-25 09:15:00+05:30,DRREDDY.NS,0.4671,0.4519,0.6519,0.6667,14
2026-05-19 09:15:00+05:30,HINDUNILVR.NS,-0.4288,-0.1589,-0.1942,0.5472,26
2026-05-20 09:15:00+05:30,HINDUNILVR.NS,-0.2645,0.2357,0.4125,0.2085,6
2026-05-21 09:15:00+05:30,HINDUNILVR.NS,0.5748,0.0362,-0.113,-0.2712,15
2026-05-22 09:15:00+05:30,HINDUNILVR.NS,0.1285,-0.0413,0.3349,0.5092,20
2026-05-25 09:15:00+05:30,HINDUNILVR.NS,0.6716,-0.3498,-0.453,-0.157,19
2026-05-26 09:15:00+05:30,HINDUNILVR.NS,0.1366,-0.0273,-0.1456,0.232,12
2026-05-27 09:15:00+05:30,HINDUNILVR.NS,-0.1357,-0.1767,-0.2537,-0.2944,25
2026-05-29 09:15:00+05:30,HINDUNILVR.NS,-1.8582,-0.6395,-0.7076,-0.9253,30
2026-06-01 09:15:00+05:30,HINDUNILVR.NS,-0.0231,-0.1977,-0.1883,-0.2213,21
2026-06-02 09:15:00+05:30,HINDUNILVR.NS,-0.4739,-0.2695,-0.1973,-0.0192,12
2026-06-03 09:15:00+05:30,HINDUNILVR.NS,-0.2338,0.149,-0.0865,0.1394,21
2026-06-04 09:15:00+05:30,HINDUNILVR.NS,-0.1435,0.0238,0.119,0.0095,15
2026-06-05 09:15:00+05:30,HINDUNILVR.NS,0.3463,0.0817,0.3124,0.6585,17
2026-06-08 09:15:00+05:30,HINDUNILVR.NS,-0.8485,0.1472,0.3229,0.1472,11
2026-06-09 09:15:00+05:30,HINDUNILVR.NS,0.3318,0.2173,0.1984,-0.2834,22
2026-06-10 09:15:00+05:30,HINDUNILVR.NS,-0.0422,-0.0319,0.2875,-0.2327,15
2026-06-11 09:15:00+05:30,HINDUNILVR.NS,-0.6223,-0.0093,-0.1067,-0.4315,24
2026-06-12 09:15:00+05:30,HINDUNILVR.NS,0.8038,0.2312,-0.0277,-0.2959,17
2026-06-15 09:15:00+05:30,HINDUNILVR.NS,1.3786,-0.0229,-0.2331,-0.6217,15
2026-06-16 09:15:00+05:30,HINDUNILVR.NS,0.3016,0.1007,-0.1236,0.2884,17
2026-06-17 09:15:00+05:30,HINDUNILVR.NS,0.15,-0.0406,0.2755,0.1264,18
2026-06-18 09:15:00+05:30,HINDUNILVR.NS,0.2273,0.2455,0.5683,0.2955,16
2026-06-19 09:15:00+05:30,HINDUNILVR.NS,-0.4733,-0.0364,0.2185,0.1001,23
2026-06-22 09:15:00+05:30,HINDUNILVR.NS,0.0772,0.0546,-0.0546,-0.0773,25
2026-06-23 09:15:00+05:30,HINDUNILVR.NS,-0.9932,-0.023,0.2071,-0.1841,30
2026-06-24 09:15:00+05:30,HINDUNILVR.NS,-0.0972,-0.5978,-0.6905,0.0139,25
2026-06-25 09:15:00+05:30,HINDUNILVR.NS,0.1897,0.4139,1.0393,0.3173,19
2026-05-19 09:15:00+05:30,SUNPHARMA.NS,-0.3043,-0.1784,-0.2676,-0.0525,25
2026-05-20 09:15:00+05:30,SUNPHARMA.NS,-0.1275,-0.3019,-0.0318,-0.1271,4
2026-05-21 09:15:00+05:30,SUNPHARMA.NS,0.5106,0.6731,0.2511,0.1549,19
2026-05-22 09:15:00+05:30,SUNPHARMA.NS,0.5922,-0.4167,-0.9177,-1.4821,3
2026-05-25 09:15:00+05:30,SUNPHARMA.NS,-0.0326,-0.1575,-0.2173,0.2173,27
2026-05-26 09:15:00+05:30,SUNPHARMA.NS,-0.1847,0.3176,0.0602,-0.4107,23
2026-05-27 09:15:00+05:30,SUNPHARMA.NS,0.863,-0.1195,-0.0869,-0.3747,2
2026-05-29 09:15:00+05:30,SUNPHARMA.NS,0.3741,-0.1628,0.0108,-0.1356,13
2026-06-01 09:15:00+05:30,SUNPHARMA.NS,0.6948,0.7253,0.9276,1.3268,8
2026-06-02 09:15:00+05:30,SUNPHARMA.NS,-0.0445,0.1743,0.0,-0.1237,4
2026-06-03 09:15:00+05:30,SUNPHARMA.NS,0.0448,0.2367,0.1014,-0.062,15
2026-06-04 09:15:00+05:30,SUNPHARMA.NS,-0.0839,0.0785,0.4486,0.1346,11
2026-06-05 09:15:00+05:30,SUNPHARMA.NS,0.4887,-0.1172,-0.1451,-0.0056,9
2026-06-08 09:15:00+05:30,SUNPHARMA.NS,-0.5886,-0.4617,-0.1279,-0.4339,5
2026-06-09 09:15:00+05:30,SUNPHARMA.NS,-0.1286,0.2402,0.0559,0.1285,28
2026-06-10 09:15:00+05:30,SUNPHARMA.NS,0.0,-0.0507,0.0563,0.4448,14
2026-06-11 09:15:00+05:30,SUNPHARMA.NS,-0.3079,-0.0615,-0.1453,0.1061,13
2026-06-12 09:15:00+05:30,SUNPHARMA.NS,0.6577,-0.2001,-0.2779,0.0333,21
2026-06-15 09:15:00+05:30,SUNPHARMA.NS,0.4038,-0.0388,-0.1053,-0.2328,27
