Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60,Rank
2026-06-04 09:15:00+05:30,CGPOWER.NS,0.8601,0.1214,3.2202,925.85,907.5,18.35,2.0062,1.1316,0.6036,0.5556,2.008,0.3135,0.4649,1.1297,2.0014,2.1253,1.8218,3
2026-04-08 09:15:00+05:30,CONCOR.NS,4.1997,-0.0551,1.5209,472.65,467.05,5.6,1.1848,1.1848,-0.3981,0.5972,3.0509,0.1071,-0.0963,-0.0963,2.9652,2.9084,3.4097,8
2026-06-15 09:15:00+05:30,CONCOR.NS,1.6201,0.1111,5.4463,462.0,457.9,4.1,0.8954,0.2621,-0.1233,0.6597,2.7395,0.2723,0.1307,0.2178,1.8864,1.9996,2.2836,3
2026-04-08 09:15:00+05:30,CUMMINSIND.NS,2.395,0.0669,1.6678,4819.7002,4750.0,69.7002,1.4674,0.7368,0.0021,0.597,2.8819,-0.1421,-0.8568,-0.1233,3.1495,3.2184,3.3656,9
2026-05-04 09:15:00+05:30,CUMMINSIND.NS,0.6285,0.0076,1.5414,5344.5,5295.5,49.0,0.9246,0.7925,0.2691,0.5274,1.2814,-0.44,-0.5148,-0.5991,1.426,1.4337,0.7393,4
2026-05-29 09:15:00+05:30,CUMMINSIND.NS,0.0,1.0995,2.5786,6080.0,5944.5,135.5,2.2327,2.0514,-0.7541,1.2328,3.7336,0.614,1.5897,-1.1187,-2.0514,-0.9745,-0.2601,3
2026-06-04 09:15:00+05:30,CUMMINSIND.NS,-0.3689,0.0791,2.6387,5800.0,5671.5,128.5,2.2657,2.0629,0.6112,0.6676,1.3042,0.2764,0.2159,0.2332,1.6864,1.7669,1.0827,4
2026-04-08 09:15:00+05:30,KPITTECH.NS,2.969,0.2829,1.8735,730.05,714.8,15.25,2.0889,1.9725,-0.6272,0.5784,1.6674,1.551,0.6148,-0.0908,0.9379,1.2235,1.4603,12
2026-04-15 09:15:00+05:30,KPITTECH.NS,1.6207,-0.1126,1.6534,735.9,721.05,14.85,2.0595,1.3106,0.1851,0.5397,2.401,0.0753,-0.1643,-0.2053,2.9526,2.8366,2.6921,1
2026-04-16 09:15:00+05:30,KPITTECH.NS,1.3004,-0.2881,3.1848,755.35,736.0,19.35,2.6285,1.4263,0.0871,0.5324,2.3103,-1.2188,-1.8148,-1.3929,2.7453,2.4492,2.2878,1
2026-04-29 09:15:00+05:30,KPITTECH.NS,0.5038,0.1227,2.6395,758.0,738.15,19.85,2.6892,2.4656,0.7347,0.6077,2.6215,-0.6809,-0.6346,-0.9057,2.9818,3.1082,2.7649,2
2026-05-15 09:15:00+05:30,KPITTECH.NS,0.2479,-0.4232,1.8845,725.9,707.7,18.2,2.5717,1.9359,0.4269,0.6386,1.6519,-0.3604,-0.4159,-0.9842,2.1885,1.7561,1.306,1
2026-05-19 09:15:00+05:30,KPITTECH.NS,0.9961,0.0353,5.1008,731.95,714.8,17.15,2.3993,2.2174,0.6682,0.7293,3.3223,-0.7733,-0.8965,-0.2669,3.2356,3.2721,3.5428,1
2026-05-27 09:15:00+05:30,KPITTECH.NS,-0.8354,0.2729,1.6286,794.5,779.2,15.3,1.953,0.3702,-0.5395,0.6191,1.1578,-1.1979,-1.1275,-0.6214,-1.2025,-0.9329,1.3834,3
2026-06-02 09:15:00+05:30,KPITTECH.NS,-0.2662,0.4328,2.1141,805.45,786.9,18.55,2.3574,2.2811,0.7238,0.6332,1.7202,0.3355,0.7828,1.901,2.0089,2.4504,2.0412,1
2026-06-12 09:15:00+05:30,KPITTECH.NS,0.8685,0.1359,1.8669,750.6,743.0,7.6,1.0225,0.0404,-0.3398,0.5686,1.0806,-0.1211,-0.4374,-0.0875,0.8278,0.9648,0.9854,3
2026-04-06 09:15:00+05:30,MARICO.NS,0.3481,0.0591,2.5179,769.8,757.45,12.35,1.6165,0.4123,-0.2426,0.6816,1.1016,0.0854,-0.3417,-0.644,-0.0657,-0.0066,-0.3862,2
2026-05-06 09:15:00+05:30,MARICO.NS,2.0123,0.2413,5.5398,843.1,825.8,17.3,2.0937,0.7806,-0.1359,1.2579,4.4562,-0.1981,-1.375,-1.7652,2.8086,3.0567,3.886,1
2026-04-08 09:15:00+05:30,MRF.NS,4.6786,0.0039,1.8442,133125.0,131255.0,1870.0,1.4047,0.5183,0.1235,0.5038,3.7584,-0.1623,-0.151,0.5739,4.136,4.1401,4.0583,7
2026-04-08 09:15:00+05:30,PIIND.NS,2.1127,0.1022,3.2624,2938.1001,2900.0,38.1001,1.3138,0.2103,-0.2962,0.6602,2.7738,0.2133,-0.0206,-0.3785,2.3275,2.4321,2.9291,11
2026-04-29 09:15:00+05:30,PIIND.NS,1.3688,0.3434,5.0373,3159.0,3139.5,19.5,0.621,0.6051,0.2062,0.6955,1.38,0.2374,-0.3989,0.1013,1.9822,2.3324,0.991,3
2026-06-10 09:15:00+05:30,PIIND.NS,-0.5368,-0.0348,3.4888,2880.0,2844.1001,35.8999,1.2581,0.2278,-0.0454,0.9795,1.7429,-0.6888,-1.0279,-1.8216,-0.3102,-0.3449,1.1816,1
2026-04-08 09:15:00+05:30,POLYCAB.NS,3.6169,-0.0553,3.3267,7636.5,7491.5,145.0,1.9355,0.7008,-0.1764,0.7096,4.6269,0.2585,0.5832,0.57,4.343,4.2853,4.5237,6
2026-05-07 09:15:00+05:30,POLYCAB.NS,1.218,-0.0178,6.4201,8939.0,8518.0,421.0,4.9425,4.4435,1.275,0.8687,5.1461,-1.0173,-0.9667,-0.0899,5.7156,5.6968,5.5025,1
2026-04-08 09:15:00+05:30,SUPREMEIND.NS,1.7761,-0.0212,1.6448,3921.3999,3839.3999,82.0,2.1358,1.1955,0.0842,0.6852,3.1265,-0.1107,-0.4787,-0.8571,2.9928,2.971,2.9955,10
2026-04-27 09:15:00+05:30,SUPREMEIND.NS,1.0098,-0.0327,1.9836,3756.8999,3700.3999,56.5,1.5266,0.9889,0.1599,0.5456,2.0217,-0.2435,0.0642,-0.1284,2.0087,1.9753,2.0171,4
